County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2019,69-104-15,,3232 THOMPSON AVE,,ADU19-0030,Accessory Dwelling Unit,Renter,8/29/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.75990641574829,-122.22809672482535,"3232 Thompson Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-250-19,,2025 LINCOLN AVE,,ADU20-0034,Accessory Dwelling Unit,Renter,8/5/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77048349130431,-122.25000883301828,"2025 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-1235-74,,1910 CLINTON AVE,,ADU20-0045,Accessory Dwelling Unit,Renter,8/26/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76443012271292,-122.2564883436274,"1910 Clinton Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-161-3,,1829 VERSAILLES AVE,,CB20-0464,Accessory Dwelling Unit,Renter,8/23/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76677640994856,-122.23223757328743,"1829 Versailles Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-386-3,,938 PACIFIC AVE APT A,,ADU20-0044,Accessory Dwelling Unit,Renter,8/25/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77601221452491,-122.26867745337296,"938 Pacific Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-192-18,,2423 BUENA VISTA AVE,,ADU20-0043,Accessory Dwelling Unit,Renter,8/21/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76770641006782,-122.2386098837664,"2423 Buena Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-192-18,,2423 BUENA VISTA AVE APT A,,ADU20-0042,Accessory Dwelling Unit,Renter,8/21/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76770641006782,-122.2386098837664,"2423 Buena Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-473-2,,215 PACIFIC AVE APT E,,ADU20-0041,Accessory Dwelling Unit,Renter,8/20/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7764998773442,-122.28923037316059,"215 Pacific Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-114-5,,1633 MORELAND DR,,ADU20-0040,Accessory Dwelling Unit,Renter,8/18/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76396341217026,-122.23349679782434,"1633 Moreland Dr, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-254-5,,2058 EAGLE AVE,,ADU20-0039,Accessory Dwelling Unit,Renter,8/18/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.772629548312075,-122.24741118901512,"2058 Eagle Ave, Alameda, California, 94501"
